DAUID,PRUID,Total_Minutes,Total_Kilometres
35390938,ON,15.41710062,10.69843065
35430630,ON,20.05726633,21.54645802
35400184,ON,3.4389007,1.7282682
35390839,ON,6.59137111,5.43620679
35390737,ON,16.7041895,16.16497337
35410206,ON,21.41121512,25.48443729
35420216,ON,7.87896003,9.21454839
35390939,ON,14.09005184,10.27639737
35430631,ON,23.00794354,28.9073626
35400185,ON,4.82569617,2.44741949
35390840,ON,7.15810958,5.29837534
35390738,ON,17.35009445,20.15710277
35410207,ON,16.55630163,20.27120094
35420217,ON,6.91955452,7.68365272
35390940,ON,14.22728824,10.67639153
35430632,ON,19.51031701,21.04606841
35430633,ON,19.13003376,21.51247022
35430634,ON,17.62128541,20.59304519
35430635,ON,19.9678909,20.0496487
35430636,ON,13.63180347,14.71345071
35430637,ON,12.70709123,14.72219217
35430638,ON,9.69061162,10.91944966
35430639,ON,9.31623886,10.37548492
35430640,ON,9.4562968,7.2437601
35430641,ON,8.96232952,7.0421477
35430642,ON,9.8431276,7.59263188
35430643,ON,10.67956794,8.0791193
35430644,ON,11.85838867,8.95099877
35430645,ON,11.31170844,8.19547835
35430646,ON,12.88709244,10.74166772
35430647,ON,10.16441798,6.67711746
35430648,ON,10.65341919,6.77186552
35430649,ON,10.34744475,6.51233571
35430650,ON,9.79357949,6.78467084
35430651,ON,10.72353412,7.17655112
35430652,ON,10.44752795,7.19244647
35430653,ON,10.94593453,6.6604946
35430654,ON,10.03301434,6.87774388
35430655,ON,10.77746803,7.18848956
35430656,ON,11.88226737,8.84101698
35430657,ON,11.90510966,9.06122973
35430658,ON,11.44378665,7.53513302
35430659,ON,11.20655615,9.55963892
35430660,ON,12.26250928,10.04908082
35430661,ON,9.90580967,8.45644382
35430662,ON,10.74104193,8.63330331
35430663,ON,10.1224326,8.33556592
35430664,ON,10.99030359,8.71576055
35430665,ON,8.10565767,7.32010183
35430666,ON,11.34834489,9.03333744
35430667,ON,11.93754941,9.4179456
35430668,ON,11.38551582,9.60195437
35430669,ON,10.40069185,8.90766123
35430670,ON,12.85163982,10.24815752
35430671,ON,11.92650662,9.76301918
35430672,ON,12.04722595,9.71113699
35430673,ON,11.24459584,9.4019549
35430674,ON,12.12991047,9.41807701
35430675,ON,12.0105125,9.77756164
35430676,ON,11.01944034,9.14097112
35430677,ON,10.79054333,10.40790561
35430678,ON,11.3944234,8.81721376
35430679,ON,10.40268862,10.12978863
35430680,ON,10.29260668,9.84377961
35430681,ON,10.71607158,10.11546215
35430682,ON,11.58632298,10.54669217
35430683,ON,12.66670045,11.15891867
35430684,ON,12.334349,11.07709612
35430685,ON,11.39327364,9.68297911
35430686,ON,13.01149855,12.03051425
35430687,ON,12.63507762,11.80661953
35430688,ON,12.60351885,11.25732155
35430689,ON,13.1808912,12.03841138
35430690,ON,13.15155463,11.73046997
35430691,ON,12.77556614,13.69897832
35430693,ON,13.70163303,12.41752796
