CSDUID,Total_Sec,Total_Min
1005024,482.9587398,9.0
1005025,241.64443020000002,5.0
1005028,375.4730004,7.0
1005030,645.6168633904763,11.0
1005033,559.7135838,10.0
1005035,383.004678,7.0
1006001,827.6670492,14.0
1006003,261.69954851694916,5.0
1006008,259.4955492,5.0
1006009,1066.5659795373738,18.0
1006011,1625.2071696,28.0
1006012,783.18438074046,14.0
1006014,835.993014,14.0
1006015,688.609206,12.0
1006017,748.2596368072185,13.0
1006019,228.73759186061,4.0
1006021,353.4404744489627,6.0
1006022,775.0426892954645,13.0
1006026,5076.548247624633,85.0
1006028,4585.8095808,77.0
1006029,4555.918362,76.0
1006031,290.389412359322,5.0
1007001,5878.144455900323,98.0
1007006,4745.927548519527,80.0
1007009,3951.6968093526452,66.0
1007013,4008.98408948404,67.0
1007014,2305.780926,39.0
1007015,2894.1871128,49.0
1007016,2449.529229,41.0
1007018,2771.0757258000003,47.0
1007020,2948.0678616,50.0
1007022,4053.1544676603994,68.0
1007023,2400.0783134879625,41.0
1007024,2941.6209438,50.0
1007025,2460.6921438,42.0
1007026,2795.5904814,47.0
1007027,2328.1974006,39.0
1007028,1867.859436502527,32.0
1007031,1297.2259821528178,22.0
1007032,370.8724644,7.0
1007036,419.33334,7.0
1007037,415.4276964,7.0
1007038,320.8714728,6.0
1007039,1182.1560498,20.0
1007040,751.274118,13.0
1007041,1347.7806804000002,23.0
1007042,1196.3688192,20.0
1007043,1015.1773212,17.0
1007044,1578.775927905955,27.0
1007045,1297.3470504,22.0
1007046,1416.0991476,24.0
1007047,1500.948130718392,26.0
1007048,569.056056,10.0
1007049,290.6477120004324,5.0
1007050,219.57840101612905,4.0
1007051,155.7480882,3.0
1007054,491.6098698,9.0
1007056,411.341064,7.0
1007057,445.0704762,8.0
1007060,1418.4209635268103,24.0
1007067,1069.3556861999998,18.0
1008001,963.6648834,17.0
1008004,799.0019778000001,14.0
1008006,456.1912079416491,8.0
1008008,2061.8923133170993,35.0
1008011,307.4152006178571,6.0
1008024,324.67406520000003,6.0
1008026,118.14580020000001,2.0
1008029,204.43083,4.0
1008031,1143.947701014094,20.0
1008032,1383.732348,24.0
1008033,2395.579112290435,40.0
1008035,2920.336626444696,49.0
1008036,2685.8379744000003,45.0
1008037,2442.7625244,41.0
1008038,2539.9854456,43.0
1008039,2525.3359698,43.0
1008040,3168.9394482,53.0
1008042,2954.4878913785465,50.0
1008043,3188.1054306,54.0
1008044,4229.662602412774,71.0
1008045,5519.9487162,92.0
1008046,5310.842715,89.0
1008047,5222.403799799999,88.0
1008048,3381.560604,57.0
1008049,4567.8170682,77.0
1008052,4904.9022876,82.0
1008053,7805.418893999999,131.0
1008054,3576.655961595536,60.0
1008055,4177.9973022,70.0
1008056,4330.86939,73.0
1008058,4289.5588692,72.0
1008059,4143.8798034,70.0
1008060,3413.365575260941,57.0
1008061,3296.1137085680944,55.0
1008062,1763.046696,30.0
1008063,831.8507741999998,14.0
1008064,,
1008065,1036.2311352000002,18.0
1008066,3079.436721,52.0
1008067,1463.8754994,25.0
1008069,1926.1548413999997,33.0
1008070,17.286064800000002,1.0
1008071,1253.284554,21.0
1008072,1072.828008,18.0
1008073,1620.6870924,28.0
1008074,1716.8498352,29.0
1008075,3244.37802,55.0
1008076,4215.097326046829,71.0
1008077,5264.4528726,88.0
1008078,4095.3548352,69.0
1008079,3545.50926214508,60.0
1008091,3066.5139066,52.0
1008092,4038.445362,68.0
1008093,3543.2224980000005,60.0
1008095,2922.5530062,49.0
1008096,2932.9497048,49.0
1008098,3244.5657828000008,55.0
1008099,5387.154820910817,90.0
1009001,1467.3706056,25.0
1009004,1065.6773196,18.0
1009007,1358.653455812716,23.0
1009008,1163.3541366,20.0
1009009,905.325684,16.0
1009010,911.0705568,16.0
1009011,681.7437744,12.0
1009012,1047.5205132,18.0
1009013,1794.6661729620066,30.0
1009015,3252.6774816,55.0
1009016,3237.4700994,54.0
1009017,1765.9387746,30.0
1009018,2744.7138882,46.0
1009019,2981.1311145929208,50.0
1009020,1977.3792354,33.0
1009021,1264.5746202816215,22.0
1009022,1281.540729936388,22.0
1009023,2444.4067452,41.0
1009024,3021.0116868,51.0
1009026,2104.4105598,36.0
1009028,1648.065888,28.0
1009029,2637.4588018447707,44.0
1009030,2392.432965,40.0
1009031,2718.566194310112,46.0
1009032,2470.5449584447765,42.0
1009034,630.2543814,11.0
1009035,4205.955996000001,71.0
1009037,366.9127728,7.0
1009039,1124.0364192,19.0
1009041,539.3115233999999,9.0
1009042,381.43719539999995,7.0
1009047,3326.5295958,56.0
1009048,2972.5915440000003,50.0
1010001,,
1010002,,
1010003,,
1010004,2608.6924164,44.0
1010005,2155.9261188,36.0
1010006,2227.7778246,38.0
1010007,231.5887482,4.0
1010008,138.539172,3.0
1010009,336.051234,6.0
1010010,317.6155854,6.0
1010011,384.0199896,7.0
1010012,645.8467488,11.0
1010013,606.4262814,11.0
1010020,1481.8680852,25.0
1010022,652.6937676,11.0
1010025,820.7734626482089,14.0
1010029,125.91330539999998,3.0
1010032,7145.500305940799,120.0
1010034,2339.6564603780043,39.0
1010042,,
1010801,,
1010802,2581.16016266449,44.0
1011005,,
1011010,174782.60766,2914.0
1011015,174665.43209999998,2912.0
1011020,135371.8572,2257.0
1011030,,
1011035,95447.81283386068,1591.0
1011040,,
1101002,3549.7331652,60.0
1101003,3706.9769604,62.0
1101004,2099.8234956,35.0
1101005,2116.1613266691984,36.0
1101020,2119.1219388,36.0
1101025,2352.5048052,40.0
1101027,2661.6481368,45.0
1101030,2983.2499776,50.0
1101033,2205.375435,37.0
1101035,2429.578307162174,41.0
1101036,2292.6969498561634,39.0
1101037,3370.5113340000007,57.0
1101040,2039.6400816,34.0
1101043,3134.4135244838703,53.0
1101044,2112.5695272,36.0
1101045,2598.2569780242547,44.0
