ED_ID,Province,PRUID,ED_Name,x,y,lat,lng,Address,City,Postal_Code
503,Ontario,ON,ST MARYS GENERAL HOSPITAL,-80.50200711,43.43877793,43.43877793,-80.50200711,911 QUEENS BLVD,KITCHENER,N2M1B2
504,Ontario,ON,RENFREW VICTORIA HOSPITAL,-76.69677266,45.48321971,45.48321971,-76.69677266,499 RAGLAN ST N,RENFREW,K7V1P6
505,Prince Edward Island,PE,PRINCE COUNTY HOSPITAL,-63.77499584,46.41833694,46.41833694,-63.77499584,65 ROY BOATES AVENUE,SUMMERSIDE,C1N2A9
506,Prince Edward Island,PE,QUEEN ELIZABETH HOSPITAL,-63.10242531,46.25583413,46.25583413,-63.10242531,60 RIVERSIDE DRIVE,CHARLOTTETOWN,C1A8T5
507,New Brunswick,NB,STELLA-MARIS-DE-KENT HOSPITAL,-64.78256541,46.55948995,46.55948995,-64.78256541,7714 RTE 134,SAINTE-ANNE-DE-KENT,E4S1H5
508,Quebec,QC,BASSE-COTE-NORD MULTI-SERVICES CENTER FOR HEALTH AND SOCIAL SERVICES,-57.28891304,51.54774836,51.54774836,-57.28891304,1070 doctor-Camille-Marcoux Boulevard,BLANC-SALBLON,G0G1W0
509,Quebec,QC,CENTRE DE SANTÉ TULATTAVIK DE L'UNGAVA,-68.40524858,58.10709014,58.10709014,-68.40524858,,KUUJJUAQ,J0M1C0
510,Quebec,QC,CONSEIL CRI DE LA SANTÉ ET DES SERVICES SOCIAUX DE LA BAIE JAMES,-78.89167711,53.78401488,53.78401488,-78.89167711,21 MAAMUU ROAD,EEYOU ISTCHEE,J0M1E0
511,Quebec,QC,INUULITSIVIK HEALTH CENTRE,-77.32221911,60.05712298,60.05712298,-77.32221911,,POVUNGNITUK,J0M1P0
512,Quebec,QC,KATERI-MEMORIAL TEHSAKOTITSEN HOSPITAL CENTER: THA,-73.68224849,45.38215295,45.38215295,-73.68224849,10 RIVER ROAD,KAHNAWAKE,J0L1B0
513,Quebec,QC,LAKESHORE GENERAL HOSPITAL - POINTE-CLAIRE,-73.83251338,45.44986364,45.44986364,-73.83251338,160 STILLVIEW RD,POINTE CLAIRE,H9R2Y2
514,Quebec,QC,MOUNT SINAI HOSPITAL,-73.6574311,45.47419731,45.47419731,-73.6574311,5690 CAVENDISH BLVD,COTE SAINT-LUC,H4W1S7
515,Quebec,QC,PAPINEAU HOSPITAL,-75.41188857,45.58818738,45.58818738,-75.41188857,155 MACLAREN STREET EAST,GATINEAU,J8L0C2
516,Quebec,QC,RIVIERE-ROUGE SERVICE CENTRE,-74.88279762,46.42202858,46.42202858,-74.88279762,1525 L'ANNONCIATION STREET NORTH,RIVIERE-ROUGE,J0T1T0
517,Quebec,QC,BAIE-SAINT-PAUL HOSPITAL,-70.51064244,47.43972674,47.43972674,-70.51064244,88 RACINE ST,BAIE-SAINT-PAUL,G3Z0K3
518,Quebec,QC,BARRIE MEMORIAL HOSPITAL,-73.99932247,45.12581784,45.12581784,-73.99932247,28 RUE GALE,ORMSTOWN,J0S1K0
519,Quebec,QC,CENTRE DE SANTE DE CHIBOUGAMAU,-74.34892646,49.9150996,49.9150996,-74.34892646,51 3 RUE,CHIBOUGAMAU,G8P1N1
520,Quebec,QC,CENTRE DE SANTÉ DE LA MINGANIE,-63.60497195,50.23725138,50.23725138,-63.60497195,1035 PROM DES ANCIENS ,HAVRE-SAINT-PIERRE,G0G1P0
521,Quebec,QC,CENTRE DE SANTÉ DE TÉMISCAMING,-79.09376728,46.72555871,46.72555871,-79.09376728,180 AV ANVIK,TÉMISCAMING,J0Z3R0
522,Quebec,QC,CENTRE DE SANTÉ DE PORT-CARTIER,-66.89287758,50.02410805,50.02410805,-66.89287758,3 RUE DE SHELTER BAY,PORT-CARTIER,G5B2W9
523,Quebec,QC,CENTRE DE SANTÉ ISLE-DIEU,-77.62797668,49.75611987,49.75611987,-77.62797668,130 BOUL MATAGAMI,MATAGAMI,J0Y2A0
524,Quebec,QC,CENTRE DE SANTÉ DES NORD-CÔTIERS,-69.40754618,48.35177495,48.35177495,-69.40754618,4 RUE DE L'HÔPITAL,LES ESCOUMINS,G0T1K0
525,Quebec,QC,CENTRE HOSPITALIER AFFILIÉ UNIVERSITAIRE DE QUÉBEC - HÔPITAL DU SAINT-SACREMENT,-71.24483714,46.79883984,46.79883984,-71.24483714,1050 CH STE FOY,QUÉBEC,G1S4L8
526,Quebec,QC,CENTRE HOSPITALIER BAIE-DES-CHALEURS,-65.99185132,48.16799267,48.16799267,-65.99185132,419 BOUL PERRON,MARIA,G0C1Y0
527,Quebec,QC,CENTRE DE SANTÉ SAINTE-FAMILLE,-79.44512024,47.33304573,47.33304573,-79.44512024,22 RUE NOTRE DAME N,VILLE MARIE,J9V1W8
