CSDUID,Average_Travel_Minutes
1102022,7.0
1102030,6.0
1102032,7.0
1102034,6.0
1102035,8.0
1102037,7.0
1102040,8.0
1102043,8.0
1102045,8.0
1102046,8.0
1102050,8.0
1102051,9.0
1102055,8.0
1102057,5.0
1102059,7.0
1102061,6.0
1102064,10.0
1102066,11.0
1102067,13.0
1102068,16.0
1102069,16.0
1102070,14.0
1102071,21.0
1102072,30.0
1102073,22.0
1102075,17.0
1102080,21.0
1102085,16.0
1103002,67.0
1103003,64.0
1103004,50.0
1103005,48.0
1103007,45.0
1103008,55.0
1103014,25.0
1103015,7.0
1103018,9.0
1103020,7.0
1103021,5.0
1103022,6.0
1103023,5.0
1103024,5.0
1103025,10.0
1103027,14.0
1103029,10.0
1103033,10.0
1103035,9.0
1103039,22.0
1103040,32.0
1103042,34.0
1103043,61.0
1103050,63.0
1103052,67.0
1103053,55.0
1103055,68.0
1103057,61.0
1103059,62.0
1103060,42.0
1103061,29.0
1103062,16.0
1103063,20.0
1103064,19.0
1103065,36.0
1103066,56.0
1103067,31.0
1103068,23.0
1201001,18.0
1201004,33.0
1201006,42.0
1201008,34.0
1201009,29.0
1202001,9.0
1202004,8.0
1202006,24.0
1202040,38.0
1203001,23.0
1203004,36.0
1203006,24.0
1203009,17.0
1204001,35.0
1204009,43.0
1204010,18.0
1204015,34.0
1205001,37.0
1205002,
1205004,44.0
1205006,38.0
1205008,45.0
1205009,35.0
1205014,40.0
1205016,29.0
1206001,17.0
1206004,37.0
1206006,12.0
1206008,16.0
1206009,16.0
1206011,20.0
1206014,21.0
1206016,
1207001,8.0
1207002,9.0
1207004,13.0
1207011,19.0
1207012,16.0
1207016,23.0
1207021,34.0
1207024,29.0
1207027,19.0
1208003,28.0
1208008,25.0
1208014,22.0
1209019,21.0
1209034,
1209037,18.0
1209038,26.0
1209800,38.0
1210001,24.0
1210002,20.0
1210003,12.0
1210006,8.0
1210008,15.0
1210012,30.0
1211001,46.0
1211006,22.0
1211009,48.0
1211011,9.0
1211012,6.0
1211014,18.0
1212001,15.0
1212004,4.0
1212006,6.0
1212008,7.0
1212009,10.0
1212011,18.0
1212014,16.0
1212016,28.0
1212019,30.0
1212023,
1213001,27.0
1213004,44.0
1213008,8.0
1214001,21.0
1214002,7.0
1214006,14.0
1214010,23.0
1215001,19.0
1215002,16.0
1215005,12.0
1215006,32.0
1215008,16.0
1215011,24.0
1216001,36.0
1216006,15.0
1216011,26.0
1216014,41.0
1217008,36.0
1217020,36.0
1217030,9.0
1218001,27.0
1218003,59.0
1218006,49.0
1301001,17.0
1301002,13.0
1301004,12.0
1301006,10.0
1301016,29.0
1302001,51.0
1302004,47.0
1302006,37.0
1302008,33.0
1302011,34.0
1302012,38.0
1302014,33.0
1302016,59.0
1302018,54.0
1302021,29.0
1302024,25.0
1302026,19.0
1302028,11.0
1302031,9.0
1302034,14.0
1302037,6.0
1302039,17.0
1302042,27.0
1302044,12.0
1302052,15.0
1303001,52.0
1303004,29.0
1303005,27.0
1303006,11.0
1303008,12.0
1303011,6.0
1303012,18.0
1303013,25.0
1303014,16.0
1303016,7.0
1303018,2.0
1304001,63.0
1304004,56.0
1304005,41.0
1304006,56.0
1304008,25.0
1304011,48.0
1304013,39.0
1304014,31.0
1304016,30.0
1304018,48.0
1304021,38.0
1304022,35.0
1304024,41.0
1304025,48.0
1305001,39.0
1305004,16.0
1305006,4.0
1305007,8.0
1305008,6.0
1305011,15.0
1305014,17.0
1305015,23.0
1305016,20.0
1305018,17.0
1305021,17.0
1305022,15.0
1305023,14.0
1305024,14.0
1305026,16.0
1305028,16.0
1305031,16.0
1305034,21.0
1305036,22.0
1305038,22.0
1305045,25.0
1305057,22.0
1306001,11.0
1306003,10.0
1306004,11.0
1306006,9.0
1306007,9.0
1306008,10.0
1306011,10.0
1306014,12.0
1306020,26.0
1306025,24.0
1307001,10.0
1307002,7.0
1307004,9.0
1307005,6.0
1307007,7.0
1307008,4.0
1307009,6.0
1307011,7.0
1307012,7.0
1307013,3.0
1307014,2.0
1307016,3.0
1307019,5.0
1307022,14.0
1307024,5.0
1307028,16.0
1307029,34.0
1307045,18.0
1307052,18.0
1308001,47.0
1308002,51.0
1308003,49.0
1308004,59.0
1308005,56.0
1308006,50.0
1308007,43.0
1308008,39.0
1308010,38.0
1308012,37.0
1308014,36.0
1308015,40.0
1308016,37.0
1308017,26.0
1308018,32.0
1308019,33.0
1308020,35.0
1308021,30.0
1308022,42.0
1308024,57.0
1308026,60.0
1309001,28.0
1309004,33.0
1309006,33.0
1309010,35.0
1309011,28.0
1309014,32.0
1309016,35.0
1309017,16.0
1309018,11.0
1309019,9.0
1309021,7.0
1309022,9.0
1309023,13.0
1309026,14.0
1309027,11.0
1309028,11.0
1309031,26.0
1309033,25.0
1309034,24.0
1309035,25.0
1309036,24.0
1309038,25.0
1309044,18.0
1309047,27.0
1309050,42.0
1310001,34.0
1310002,17.0
1310004,9.0
1310005,8.0
1310006,9.0
1310007,11.0
1310008,11.0
1310011,11.0
1310012,10.0
1310013,10.0
1310014,10.0
1310016,11.0
1310017,11.0
1310018,13.0
1310019,12.0
1310021,13.0
1310024,6.0
1310025,4.0
1310026,6.0
1310028,4.0
1310031,4.0
1310032,23.0
1310034,13.0
1310036,12.0
1310037,10.0
1310054,8.0
1311001,41.0
1311004,19.0
1311005,10.0
1311006,20.0
1311008,23.0
1311011,23.0
1311012,28.0
1311014,35.0
1311018,21.0
1311019,17.0
1311021,2.0
1311024,7.0
1311026,13.0
1311027,19.0
1311028,17.0
1311030,21.0
1311031,20.0
1312001,51.0
1312002,12.0
1312004,10.0
1312006,4.0
1312007,6.0
1312008,8.0
1312009,15.0
1312011,19.0
1312014,28.0
1312016,51.0
1312019,19.0
1312021,6.0
1312023,15.0
1313002,35.0
1313004,8.0
1313006,10.0
1313008,11.0
1313011,9.0
1313012,5.0
1313014,4.0
1313015,4.0
1313018,4.0
1313020,5.0
1313022,7.0
1313024,9.0
1313027,19.0
1313028,
1313031,28.0
1313037,9.0
1314001,20.0
1314003,20.0
1314004,21.0
1314005,16.0
1314006,17.0
1314008,18.0
1314010,18.0
1314011,3.0
1314012,2.0
1314013,4.0
1314014,28.0
1314015,22.0
1314016,27.0
1314017,7.0
1314020,42.0
1314021,13.0
1314022,47.0
1314025,31.0
1314026,20.0
1315002,37.0
1315006,29.0
1315008,33.0
1315010,36.0
1315011,23.0
1315012,5.0
1315013,14.0
1315014,13.0
1315015,17.0
1315016,25.0
1315017,14.0
1315019,8.0
1315020,8.0
1315021,41.0
1315022,40.0
1315024,24.0
1315026,9.0
1315027,5.0
1315028,7.0
1315029,11.0
1315030,10.0
1315031,9.0
1315032,25.0
1315033,39.0
1315036,17.0
1315037,15.0
1315038,19.0
1315040,15.0
2401023,10.0
2401042,21.0
2402005,30.0
2402010,18.0
2402015,15.0
2402028,10.0
2402047,33.0
2402902,
2403005,37.0
2403010,32.0
2403015,27.0
2403020,26.0
2403025,28.0
2403902,
2403904,
2404005,83.0
2404010,57.0
2404015,45.0
2404020,53.0
2404025,35.0
2404030,30.0
2404037,12.0
2404047,15.0
2404902,28.0
2404904,
2405010,45.0
2405015,33.0
2405020,54.0
2405025,34.0
2405032,42.0
2405040,51.0
2405045,53.0
2405050,58.0
2405055,49.0
2405060,35.0
2405065,22.0
2405070,16.0
2405077,26.0
2405902,11.0
2406005,4.0
2406013,15.0
2406020,28.0
2406025,35.0
2406030,15.0
2406035,9.0
2406040,24.0
2406045,51.0
2406050,17.0
2406055,29.0
2406060,30.0
2406802,41.0
2406804,
2406902,
2406904,
2407005,29.0
2407010,26.0
2407018,19.0
2407025,9.0
2407030,10.0
2407035,5.0
2407040,4.0
2407047,7.0
2407057,23.0
2407065,24.0
2407070,29.0
2407075,33.0
2407080,34.0
2407085,23.0
2407090,21.0
2407095,27.0
2407100,38.0
2407105,21.0
2407902,26.0
2407904,
2407906,
2407908,9.0
2407910,14.0
2407912,
2407914,62.0
2408005,36.0
2408010,26.0
2408015,34.0
2408023,20.0
2408030,19.0
2408035,12.0
2408040,9.0
2408053,9.0
2408065,18.0
2408073,23.0
2408080,15.0
2408902,7.0
2409005,34.0
2409010,43.0
2409015,38.0
2409020,34.0
2409025,34.0
2409030,34.0
2409035,30.0
2409040,27.0
2409048,27.0
2409055,30.0
2409060,28.0
2409065,27.0
2409070,28.0
2409077,31.0
2409085,41.0
2409092,41.0
2409902,17.0
2409904,
2410005,13.0
2410010,11.0
2410015,11.0
2410025,10.0
2410030,9.0
2410043,11.0
2410060,18.0
2410070,7.0
2410075,7.0
2410902,6.0
2411005,11.0
2411010,27.0
2411015,27.0
2411020,30.0
2411025,23.0
2411030,20.0
2411035,14.0
2411040,5.0
2411045,4.0
2411050,12.0
2411055,17.0
2411902,
2412005,20.0
2412010,25.0
2412015,17.0
2412020,7.0
2412025,7.0
2412030,6.0
2412035,5.0
2412043,3.0
2412045,2.0
2412057,3.0
2412065,4.0
2412072,14.0
2412080,20.0
2413005,33.0
2413010,36.0
2413015,47.0
2413020,45.0
2413025,15.0
