CSDUID,Average_Travel_Minutes
2479005,223.0
2479010,109.0
2479015,154.0
2479022,84.0
2479025,72.0
2479030,22.0
2479037,10.0
2479047,43.0
2479050,24.0
2479060,29.0
2479065,16.0
2479078,5.0
2479088,20.0
2479097,21.0
2479105,13.0
2479110,19.0
2479115,11.0
2479902,
2479904,
2479906,
2479910,
2479912,
2479914,
2479916,
2479920,
2479922,25.0
2479924,
2479926,
2480005,55.0
2480010,50.0
2480015,47.0
2480020,39.0
2480027,31.0
2480037,27.0
2480045,23.0
2480050,19.0
2480055,18.0
2480060,17.0
2480065,15.0
2480070,20.0
2480078,33.0
2480085,48.0
2480090,49.0
2480095,66.0
2480103,48.0
2480110,26.0
2480115,51.0
2480125,31.0
2480130,32.0
2480135,45.0
2480140,49.0
2480145,23.0
2481017,9.0
2482005,19.0
2482010,28.0
2482015,19.0
2482020,14.0
2482025,17.0
2482030,19.0
2482035,19.0
2483005,277.0
2483010,227.0
2483015,49.0
2483020,24.0
2483032,15.0
2483040,3.0
2483045,3.0
2483050,6.0
2483055,8.0
2483060,9.0
2483065,17.0
2483070,32.0
2483075,37.0
2483085,39.0
2483088,33.0
2483090,26.0
2483095,30.0
2483802,38.0
2483804,
2483902,
2483904,
2483906,
2483908,
2483912,
2484005,111.0
2484010,52.0
2484015,55.0
2484020,38.0
2484025,31.0
2484030,33.0
2484035,34.0
2484040,29.0
2484045,19.0
2484050,18.0
2484055,18.0
2484060,13.0
2484065,4.0
2484070,14.0
2484082,15.0
2484090,25.0
2484095,47.0
2484100,34.0
2484902,52.0
2485005,36.0
2485010,13.0
2485015,7.0
2485020,13.0
2485025,3.0
2485030,3.0
2485037,23.0
2485045,28.0
2485052,30.0
2485055,28.0
2485060,29.0
2485065,26.0
2485070,42.0
2485075,26.0
2485085,16.0
2485090,66.0
2485095,84.0
2485100,117.0
2485105,126.0
2485802,130.0
2485803,109.0
2485804,18.0
2485806,2.0
2485905,9.0
2485907,14.0
2486042,13.0
2487005,29.0
2487010,17.0
2487015,23.0
2487020,18.0
2487025,29.0
2487030,20.0
2487035,13.0
2487042,16.0
2487050,8.0
2487058,6.0
2487070,6.0
2487075,10.0
2487080,10.0
2487085,8.0
2487090,18.0
2487095,48.0
2487100,27.0
2487105,39.0
2487110,33.0
2487115,35.0
2487120,7.0
2487902,
2487904,12.0
2488005,44.0
2488010,51.0
2488015,44.0
2488022,39.0
2488030,46.0
2488035,25.0
2488040,17.0
2488045,12.0
2488050,5.0
2488055,6.0
2488060,30.0
2488065,14.0
2488070,24.0
2488075,15.0
2488080,16.0
2488085,21.0
2488090,25.0
2488802,37.0
2488902,33.0
2488904,26.0
2489008,17.0
2489010,18.0
2489015,83.0
2489040,24.0
2489045,7.0
2489050,6.0
2489802,7.0
2489804,8.0
2489902,
2489908,
2489910,
2489912,
2490012,51.0
2490017,37.0
2490027,18.0
2490802,48.0
2490804,338.0
2491005,25.0
2491010,27.0
2491015,26.0
2491020,27.0
2491025,18.0
2491030,4.0
2491035,4.0
2491042,14.0
2491050,72.0
2491802,40.0
2491902,26.0
2492005,149.0
2492010,32.0
2492015,31.0
2492022,11.0
2492030,10.0
2492040,68.0
2492045,24.0
2492050,31.0
2492055,24.0
2492060,26.0
2492065,29.0
2492070,30.0
2492902,50.0
2492904,47.0
2493005,44.0
2493012,20.0
2493020,14.0
2493025,7.0
2493030,5.0
2493035,6.0
2493042,13.0
2493045,76.0
2493055,35.0
2493060,29.0
2493065,29.0
2493070,14.0
2493075,7.0
2493080,6.0
2493902,
2493904,
2493906,
2493908,5.0
2494068,11.0
2494205,8.0
2494210,20.0
2494215,23.0
2494220,35.0
2494225,19.0
2494230,10.0
2494235,8.0
2494240,5.0
2494245,7.0
2494250,7.0
2494255,27.0
2494260,21.0
2494265,16.0
2494926,
2494928,6.0
2494930,8.0
2495005,29.0
2495010,6.0
2495018,2.0
2495025,10.0
2495032,26.0
2495040,10.0
2495045,15.0
2495050,57.0
2495802,33.0
2495902,
2496005,143.0
2496010,15.0
2496015,11.0
2496020,8.0
2496025,21.0
2496030,16.0
2496035,25.0
2496040,32.0
2496802,40.0
2496902,66.0
2497007,9.0
2497022,8.0
2497035,15.0
2497040,
2497802,18.0
2497804,5.0
2497806,
2497808,
2497810,
2497902,
2497904,13.0
2497906,
2497908,
2497912,
2497914,
2498005,9.0
2498010,575.0
2498012,56.0
2498014,398.0
2498015,548.0
2498020,
2498025,482.0
2498030,103.0
2498035,118.0
2498040,
2498045,2.0
2498050,1.0
2498055,
2498802,
2498804,
2498806,70.0
2498808,484.0
2498904,
2498912,
2499005,2.0
2499010,
2499015,
2499020,
2499025,10.0
2499030,
2499035,
2499040,
2499045,
2499050,
2499055,
2499060,
2499065,
2499070,
2499075,
2499080,
2499085,
2499090,
2499095,333.0
2499100,
2499105,
2499110,
2499115,
2499120,7.0
2499125,
2499130,
2499135,
2499140,
2499802,61.0
2499804,4.0
2499806,4.0
2499808,5.0
2499810,6.0
2499812,6.0
2499814,7.0
2499816,
2499818,8.0
2499877,
2499878,
2499879,
2499883,
2499885,
2499887,
2499888,
2499889,
2499890,
2499891,
2499892,
2499893,
2499894,
2499902,
2499904,
3501005,13.0
3501007,
3501011,6.0
3501012,14.0
3501020,15.0
3501030,10.0
3501042,21.0
3501050,20.0
3502001,24.0
3502008,20.0
3502010,29.0
3502023,34.0
3502025,32.0
3502036,25.0
3502044,7.0
3502048,12.0
3506008,11.0
3507004,7.0
3507006,12.0
3507008,20.0
3507014,8.0
3507015,11.0
3507017,5.0
3507021,24.0
3507024,26.0
3507033,25.0
3507040,45.0
3507042,31.0
3507052,28.0
3507065,27.0
3509001,12.0
3509004,5.0
3509010,3.0
3509015,14.0
3509021,23.0
3509024,36.0
3509028,36.0
3509030,28.0
3509039,31.0
3510005,11.0
3510010,13.0
3510020,26.0
3510035,12.0
3510045,57.0
3511005,21.0
3511015,12.0
3511030,12.0
3511035,51.0
3512001,5.0
3512002,3.0
3512004,3.0
3512005,15.0
3512015,12.0
3512020,12.0
3512026,8.0
3512030,10.0
3512036,22.0
3512046,14.0
3512048,31.0
3512051,35.0
3512054,40.0
3512058,49.0
3512061,23.0
3512065,10.0
3512076,18.0
3513020,27.0
3514004,10.0
3514014,23.0
3514019,7.0
3514020,14.0
3514021,9.0
3514024,15.0
3514027,8.0
3514045,12.0
3515003,39.0
3515005,40.0
3515008,38.0
3515013,41.0
3515014,39.0
3515015,31.0
3515019,41.0
3515023,45.0
3515030,40.0
3515037,37.0
3515044,39.0
3516010,18.0
3518001,6.0
3518005,8.0
3518009,10.0
3518013,11.0
3518017,10.0
3518020,11.0
3518022,30.0
3518029,12.0
3518039,11.0
3519028,15.0
3519036,10.0
3519038,8.0
3519044,13.0
3519046,11.0
3519048,12.0
3519049,12.0
3519054,10.0
3519070,10.0
3519076,13.0
3520005,7.0
3521005,9.0
3521010,11.0
3521024,10.0
3522001,30.0
3522008,23.0
3522010,9.0
3522012,7.0
3522014,14.0
3522016,21.0
3522019,21.0
3522021,11.0
3523001,4.0
3523008,10.0
3523009,10.0
3523017,14.0
3523025,13.0
3523033,9.0
3523043,9.0
3523050,10.0
3524001,11.0
3524002,10.0
3524009,9.0
3524015,8.0
3525005,10.0
3526003,10.0
3526011,5.0
3526014,6.0
3526021,8.0
3526028,7.0
3526032,8.0
3526037,12.0
3526043,7.0
3526047,4.0
3526053,9.0
3526057,14.0
3526065,7.0
3528018,18.0
3528035,9.0
3528037,
3528052,21.0
3529005,6.0
3529006,10.0
3529020,
3529021,12.0
3530004,18.0
3530010,9.0
3530013,9.0
3530016,14.0
3530020,8.0
3530027,11.0
3530035,12.0
3531011,11.0
3531013,6.0
3531016,4.0
3531025,5.0
3531030,11.0
3531040,12.0
3532002,16.0
3532004,9.0
3532012,5.0
3532018,6.0
3532027,4.0
3532038,18.0
3532042,12.0
3532045,9.0
3534005,5.0
3534010,4.0
3534011,6.0
3534020,11.0
3534021,18.0
3534024,18.0
3534030,23.0
3534042,14.0
3536020,11.0
3536029,14.0
3537001,12.0
3537003,10.0
3537013,6.0
3537016,3.0
3537028,3.0
3537034,5.0
3537039,13.0
3537048,15.0
3537064,13.0
3538003,5.0
3538004,
3538007,4.0
3538015,3.0
3538016,5.0
3538018,3.0
3538019,4.0
3538025,6.0
3538030,13.0
3538031,19.0
3538035,14.0
3538040,18.0
3538043,25.0
3538056,46.0
3539002,11.0
3539005,9.0
3539015,6.0
3539017,
3539018,15.0
3539021,
3539027,7.0
3539033,5.0
3539036,11.0
3539041,12.0
3539047,10.0
3539060,15.0
3540005,12.0
3540010,7.0
3540025,7.0
3540028,9.0
3540040,9.0
3540046,5.0
3540050,15.0
3540055,18.0
3540063,17.0
3541004,15.0
3541015,15.0
3541024,10.0
3541032,6.0
3541043,17.0
3541045,7.0
3541055,12.0
3541056,6.0
3541057,11.0
3541060,9.0
3541069,19.0
3542004,10.0
3542005,6.0
3542015,14.0
3542029,16.0
3542037,14.0
3542045,8.0
3542047,13.0
3542053,13.0
3542059,10.0
3543003,14.0
3543005,6.0
3543007,16.0
3543009,11.0
3543014,17.0
3543015,17.0
3543017,18.0
3543019,7.0
3543021,15.0
3543023,9.0
3543031,20.0
3543042,10.0
3543050,7.0
3543052,18.0
3543064,23.0
3543068,11.0
3543069,7.0
3543070,14.0
3543071,7.0
3543072,16.0
3543074,17.0
3544002,9.0
3544018,9.0
3544027,21.0
3544042,24.0
3544053,36.0
3544065,23.0
3544071,
3544073,25.0
3546005,31.0
3546015,16.0
3546018,16.0
3546024,16.0
3547002,12.0
3547003,25.0
3547008,26.0
3547020,29.0
3547030,32.0
3547033,37.0
3547035,37.0
3547037,39.0
3547043,42.0
3547046,41.0
3547048,39.0
3547056,41.0
3547064,26.0
3547070,13.0
3547075,5.0
3547076,29.0
3547090,30.0
3547096,44.0
3547098,43.0
3548001,8.0
3548013,6.0
3548019,4.0
3548021,5.0
3548022,7.0
3548027,5.0
3548031,4.0
3548034,3.0
3548044,11.0
3548055,27.0
3548069,21.0
3548072,39.0
3548073,39.0
3548091,50.0
3548094,29.0
3549003,22.0
3549005,41.0
3549012,27.0
3549014,28.0
3549018,60.0
3549019,46.0
3549022,43.0
3549024,40.0
3549028,40.0
3549031,29.0
3549032,37.0
3549036,43.0
3549039,28.0
3549043,16.0
3549046,8.0
3549048,6.0
3549051,4.0
3549054,6.0
3549056,7.0
3549060,12.0
3549066,27.0
3549071,70.0
3549072,53.0
3549073,77.0
3549075,62.0
3549076,86.0
3549077,13.0
3549078,14.0
3549093,
3549095,25.0
3549096,28.0
3551001,47.0
3551006,11.0
3551011,11.0
3551017,31.0
3551021,45.0
3551026,21.0
3551027,5.0
3551028,8.0
3551034,14.0
3551040,38.0
3551041,36.0
3551042,37.0
3551043,43.0
3551044,86.0
3551045,82.0
3551094,118.0
3551100,36.0
3552001,118.0
3552004,34.0
3552013,5.0
3552023,24.0
3552026,4.0
3552028,27.0
3552031,26.0
3552036,27.0
3552037,12.0
3552051,35.0
3552052,35.0
3552053,44.0
3552054,45.0
3552056,59.0
3552058,
3552092,44.0
3552093,28.0
3553005,18.0
3553040,7.0
3554001,57.0
3554006,49.0
3554008,32.0
3554014,24.0
3554020,10.0
3554021,2.0
3554024,5.0
3554026,3.0
3554029,6.0
3554032,16.0
3554034,13.0
3554036,20.0
3554038,13.0
3554042,21.0
3554044,12.0
3554049,8.0
3554052,8.0
3554054,10.0
3554056,6.0
3554057,5.0
3554058,5.0
3554062,4.0
3554066,12.0
3554068,25.0
3554091,14.0
3554094,38.0
3556014,49.0
3556027,13.0
3556031,18.0
3556033,9.0
3556042,16.0
3556048,17.0
3556052,6.0
3556056,10.0
3556066,10.0
3556070,6.0
3556073,8.0
3556076,13.0
3556077,7.0
3556091,7.0
3556092,
3556093,16.0
3556094,5.0
3556095,3.0
3556096,
3556098,5.0
3556100,
3556102,2.0
3556106,224.0
3557001,9.0
3557004,7.0
3557006,6.0
3557008,4.0
3557011,5.0
3557014,7.0
3557016,8.0
3557019,8.0
3557021,8.0
3557026,8.0
3557028,8.0
3557035,10.0
3557038,11.0
3557039,12.0
3557040,13.0
3557041,13.0
3557051,8.0
3557061,15.0
3557066,4.0
3557071,4.0
3557072,4.0
3557073,9.0
3557074,19.0
3557075,
3557076,89.0
3557077,
3557078,5.0
3557079,13.0
3557091,91.0
3557092,
3557094,8.0
3557095,9.0
3557096,82.0
3558001,14.0
3558003,13.0
3558004,28.0
3558011,84.0
3558012,6.0
3558016,2.0
3558019,2.0
3558028,20.0
3558034,120.0
3558041,74.0
3558044,163.0
3558051,209.0
3558054,200.0
3558059,92.0
3558060,70.0
3558061,40.0
3558062,15.0
3558063,15.0
3558064,15.0
3558065,15.0
3558066,16.0
3558067,20.0
3558068,18.0
3558069,25.0
3558074,30.0
3558075,47.0
3558076,6.0
3558077,
3558080,3.0
3558085,4.0
3558090,80.0
3558092,
3558097,40.0
3558100,
3559001,143.0
3559011,163.0
3559012,181.0
3559016,188.0
3559019,190.0
3559024,193.0
3559026,188.0
3559031,248.0
3559040,194.0
3559042,190.0
3559046,
3559047,224.0
3559051,190.0
3559052,208.0
3559053,207.0
3559060,181.0
3559061,243.0
3559062,
3559063,142.0
3559064,140.0
3559066,139.0
3559068,143.0
3559069,145.0
3559089,153.0
3559090,165.0
3560001,189.0
3560004,1074.0
3560005,1297.0
3560008,730.0
3560010,761.0
3560021,402.0
3560024,413.0
3560027,121.0
3560032,113.0
3560034,117.0
3560042,119.0
3560046,105.0
3560049,105.0
3560050,
3560051,110.0
3560052,92.0
3560053,86.0
3560054,95.0
3560055,102.0
3560056,103.0
3560057,104.0
3560058,113.0
3560059,161.0
3560060,158.0
3560061,158.0
3560063,173.0
3560064,170.0
3560065,183.0
3560066,170.0
3560067,203.0
3560068,188.0
3560069,212.0
3560070,176.0
3560071,170.0
3560075,202.0
3560076,205.0
3560077,
3560078,
3560079,207.0
3560080,208.0
3560081,
3560082,206.0
3560083,209.0
3560084,212.0
3560085,214.0
3560086,323.0
3560088,256.0
3560089,273.0
3560090,
3560091,
3560093,176.0
3560095,184.0
3560096,559.0
3560097,
3560098,995.0
3560100,992.0
3560104,992.0
4601035,32.0
4601039,18.0
4601043,6.0
4601046,37.0
4601051,25.0
4601057,16.0
4601060,94.0
4601070,60.0
4601071,35.0
4601075,32.0
4601078,16.0
4601079,
4601094,85.0
4602024,19.0
4602026,23.0
4602027,25.0
4602032,20.0
4602037,20.0
4602041,15.0
4602044,11.0
4602046,5.0
4602053,14.0
4602057,10.0
4602061,9.0
4602069,18.0
4602075,9.0
4603030,7.0
4603040,8.0
4603041,15.0
4603047,8.0
4603050,8.0
4603053,10.0
4603058,18.0
4603062,4.0
4603065,16.0
4603067,16.0
4603072,10.0
4603074,5.0
4604034,19.0
4604040,13.0
4604052,7.0
4604057,14.0
4604064,7.0
4604068,
4605025,12.0
4605032,9.0
4605038,5.0
4605044,3.0
4605052,2.0
4605056,26.0
4605062,11.0
4605071,14.0
4606016,20.0
4606023,4.0
4606029,5.0
4606031,9.0
4606034,26.0
4606040,28.0
4607039,6.0
4607040,
4607046,16.0
4607052,8.0
4607057,9.0
4607060,8.0
4607062,7.0
4607066,4.0
4607068,10.0
4607071,27.0
4607072,
4607076,13.0
4608032,31.0
4608042,5.0
4608046,15.0
4608055,9.0
4608060,20.0
4608069,15.0
4609018,22.0
4609024,6.0
4609025,4.0
4609026,6.0
4609027,5.0
4609029,13.0
4609030,21.0
4610035,30.0
4610043,19.0
4610052,35.0
4611040,7.0
4611042,10.0
4612047,18.0
4612054,5.0
4612056,19.0
4613032,10.0
4613037,13.0
4613043,8.0
4613047,10.0
4613049,11.0
4613056,18.0
4613062,17.0
4614015,6.0
4614031,9.0
4614036,9.0
4614039,20.0
4614042,37.0
4615020,18.0
4615032,4.0
4615037,23.0
4615042,10.0
4615047,15.0
4615049,10.0
4615056,5.0
4615063,13.0
4615067,4.0
4615070,20.0
4615071,3.0
4615072,10.0
4615074,25.0
4615075,10.0
4615078,14.0
4615092,12.0
4616005,28.0
4616017,4.0
4616020,4.0
4616025,21.0
4616030,20.0
4616046,24.0
4616048,8.0
4617026,18.0
4617029,30.0
4617035,12.0
4617041,6.0
4617048,6.0
4617050,7.0
4617054,27.0
4617058,34.0
4617064,32.0
4617072,21.0
4617075,15.0
4617092,1.0
4618031,33.0
4618034,27.0
4618037,27.0
4618040,13.0
4618044,31.0
4618055,37.0
4618056,20.0
4618060,8.0
4618061,10.0
4618063,13.0
4618067,11.0
4618068,30.0
4618074,22.0
4618076,50.0
4618091,56.0
4618093,
4619040,118.0
4619045,
4619050,168.0
4619051,
4619052,63.0
4619053,70.0
4619054,68.0
4619056,56.0
4619058,57.0
4619059,38.0
4619061,12.0
4619062,10.0
4619065,98.0
4619068,56.0
4619069,34.0
4619070,57.0
4619071,77.0
4619072,50.0
4619075,
4619077,105.0
4619079,
4619082,416.0
4620032,47.0
4620042,15.0
4620048,11.0
4620051,23.0
4620055,39.0
4620060,14.0
4620066,58.0
4620069,31.0
4621025,5.0
4621027,5.0
4621029,6.0
4621033,5.0
4621034,6.0
4621035,7.0
4621036,
4621039,4.0
4621040,3.0
4621043,5.0
4621045,20.0
4621052,3.0
4621058,9.0
4621060,
4621064,75.0
4621071,84.0
4621078,
4621080,9.0
4622017,
4622026,31.0
4622045,5.0
4622046,
4622048,208.0
4622049,200.0
4622050,
4622051,1189.0
4622052,180.0
4622055,198.0
4622056,200.0
4622058,989.0
4622059,174.0
4622063,1490.0
4622064,1490.0
4622065,174.0
4622066,
4622067,195.0
4622800,203.0
4622801,61.0
4622802,207.0
4623022,243.0
4623023,274.0
4623027,223.0
4623034,142.0
4623037,213.0
4623039,
4623040,
4623047,100.0
4623056,143.0
4623058,
4623062,
4623064,
4623065,
4623067,186.0
4623071,
4623800,
4701001,19.0
4701002,41.0
4701004,33.0
4701006,22.0
4701008,32.0
4701011,36.0
4701012,21.0
4701014,31.0
4701016,48.0
4701017,48.0
4701018,42.0
4701019,47.0
4701021,31.0
4701022,43.0
4701024,24.0
4701027,2.0
4701031,3.0
4701032,2.0
4701036,1.0
4701037,4.0
4701039,4.0
4701041,4.0
4701043,4.0
4701044,4.0
4701047,5.0
4701049,8.0
4701053,16.0
4701054,16.0
4701056,26.0
4701058,38.0
4701059,21.0
4701061,35.0
4701063,27.0
4701064,44.0
4701066,44.0
4701067,41.0
4701069,52.0
4701072,56.0
4701076,34.0
4701077,48.0
4701078,43.0
4701079,48.0
4701091,43.0
4701094,49.0
4701096,12.0
4701098,2.0
4701808,24.0
4701809,13.0
4701810,29.0
4701812,27.0
4701813,25.0
4701814,8.0
4701815,
4701816,29.0
4701817,14.0
4701818,
4701819,30.0
4702001,54.0
4702002,39.0
4702006,50.0
4702008,21.0
4702011,33.0
4702014,40.0
4702016,62.0
4702018,50.0
4702023,24.0
4702024,32.0
4702026,15.0
4702028,5.0
4702029,4.0
4702031,5.0
4702033,4.0
4702036,3.0
4702037,2.0
4702038,2.0
4702039,2.0
4702041,3.0
4702042,4.0
4702044,4.0
4702047,22.0
4702048,30.0
4702051,31.0
4702052,41.0
4702054,33.0
4702057,62.0
4702058,59.0
4702061,74.0
4702062,69.0
4702066,78.0
4702067,89.0
4702069,64.0
4702071,58.0
4702072,53.0
4702073,51.0
4702076,39.0
4702077,65.0
4702078,77.0
4702079,55.0
4703001,34.0
4703004,43.0
4703006,30.0
4703009,31.0
4703011,37.0
4703012,28.0
4703016,19.0
4703018,8.0
4703019,2.0
4703022,4.0
4703026,24.0
4703028,20.0
4703029,17.0
4703034,16.0
4703036,4.0
4703038,32.0
4703041,26.0
4703042,53.0
4703044,44.0
4703048,33.0
4703051,64.0
4703052,40.0
4703054,71.0
4703058,78.0
4703059,68.0
4703061,88.0
4703062,60.0
4703064,84.0
4703068,62.0
4703071,55.0
4703074,63.0
4703092,58.0
4703093,59.0
4703096,44.0
4703801,39.0
4704002,4.0
4704003,1.0
4704006,3.0
4704008,5.0
4704009,4.0
4704011,40.0
4704012,31.0
4704019,24.0
4704021,28.0
4704024,34.0
4704026,45.0
4704028,28.0
4704029,19.0
4704034,4.0
4704036,15.0
4704038,45.0
4704045,33.0
4704048,63.0
4704050,83.0
4704054,35.0
4704058,29.0
4704061,86.0
4704802,40.0
4705001,46.0
4705002,34.0
4705004,30.0
4705007,28.0
4705009,29.0
4705011,32.0
4705014,28.0
4705016,24.0
4705018,23.0
4705019,21.0
4705021,18.0
4705024,27.0
4705027,22.0
4705028,26.0
4705029,34.0
4705031,24.0
4705033,42.0
4705034,28.0
4705037,11.0
4705038,25.0
4705041,25.0
4705042,24.0
4705043,17.0
4705044,36.0
4705047,34.0
4705048,21.0
4705049,29.0
4705050,12.0
4705051,2.0
4705052,20.0
4705053,19.0
4705054,21.0
4705055,21.0
4705056,25.0
4705057,19.0
4705058,28.0
4705059,27.0
4705060,25.0
4705061,32.0
4705062,30.0
4705063,32.0
4705064,20.0
4705066,32.0
4705067,52.0
4705068,36.0
4705069,32.0
4705071,14.0
4705073,20.0
4705074,9.0
4705077,20.0
4705078,12.0
4705079,1.0
4705093,13.0
4705094,20.0
4705096,2.0
4705803,3.0
4705804,22.0
4705805,22.0
4705806,23.0
4705807,23.0
4705808,4.0
4705814,4.0
4705815,
4705818,
4705823,
4705824,
4705828,
4706001,6.0
4706002,5.0
4706003,5.0
4706004,5.0
4706006,6.0
4706007,4.0
4706008,4.0
4706009,4.0
4706011,4.0
4706013,3.0
4706014,3.0
4706016,3.0
4706017,4.0
4706018,4.0
4706019,4.0
4706021,6.0
4706022,4.0
4706023,5.0
4706026,6.0
4706027,15.0
4706028,10.0
4706029,4.0
4706030,3.0
4706031,6.0
4706032,16.0
4706033,10.0
4706034,10.0
4706036,11.0
4706037,10.0
4706038,8.0
4706039,11.0
4706041,39.0
4706042,17.0
4706045,9.0
4706046,13.0
4706047,18.0
4706048,36.0
4706049,28.0
4706050,22.0
4706051,40.0
4706052,41.0
4706053,29.0
4706054,21.0
4706055,20.0
4706056,14.0
4706057,11.0
4706058,11.0
4706059,11.0
4706060,10.0
4706061,9.0
4706062,11.0
4706063,10.0
4706064,11.0
4706065,14.0
4706067,15.0
4706068,12.0
4706069,15.0
4706070,10.0
4706071,9.0
4706072,7.0
4706073,8.0
4706074,9.0
4706075,8.0
4706076,7.0
4706077,8.0
4706078,9.0
4706079,9.0
4706080,9.0
4706081,9.0
4706082,9.0
4706085,9.0
4706091,9.0
4706092,8.0
4706093,10.0
4706094,10.0
4706096,10.0
4706097,4.0
4706098,4.0
4706099,5.0
4706809,5.0
4706810,11.0
4706811,12.0
4706812,11.0
4706813,11.0
4706814,13.0
4706815,10.0
4706816,10.0
4706818,11.0
4706820,6.0
4706828,
4706829,2.0
4706830,
4706831,
4707001,55.0
4707004,37.0
4707006,40.0
4707008,88.0
4707011,72.0
4707012,46.0
4707014,53.0
4707016,53.0
4707018,55.0
4707020,48.0
4707021,31.0
4707022,31.0
4707023,24.0
4707024,15.0
4707026,8.0
4707027,7.0
4707028,7.0
4707029,9.0
4707031,7.0
4707032,8.0
4707034,8.0
4707036,9.0
4707037,9.0
4707038,10.0
4707039,15.0
4707042,12.0
4707043,32.0
4707044,41.0
4707045,76.0
4707047,69.0
4707048,62.0
4707049,48.0
4707051,57.0
4707053,56.0
4707054,41.0
4707058,28.0
4707059,21.0
4707062,16.0
4707063,12.0
4707066,2.0
4707067,4.0
4707068,36.0
4707071,28.0
4707072,22.0
4707074,31.0
4707076,28.0
4707077,18.0
4707091,15.0
4707092,6.0
4707093,6.0
4708001,40.0
4708004,36.0
4708006,31.0
4708008,12.0
4708009,12.0
4708011,10.0
4708012,9.0
4708016,9.0
4708018,8.0
4708021,9.0
4708022,6.0
4708024,6.0
4708026,6.0
4708028,5.0
4708029,6.0
4708031,6.0
4708032,7.0
4708034,6.0
4708036,6.0
4708038,5.0
4708039,7.0
4708042,6.0
4708044,7.0
4708046,6.0
4708048,7.0
4708049,8.0
4708053,8.0
4708054,16.0
4708056,28.0
4708057,22.0
4708058,33.0
4708059,48.0
4708061,33.0
4708062,55.0
4708065,31.0
4708068,27.0
4708071,7.0
4708074,2.0
4708076,20.0
4708092,11.0
4708094,6.0
4709001,24.0
4709002,21.0
4709006,3.0
4709009,5.0
4709011,14.0
4709012,21.0
4709014,34.0
4709016,26.0
4709019,25.0
4709023,22.0
4709024,29.0
4709028,27.0
4709029,26.0
4709032,7.0
4709033,6.0
4709037,6.0
4709038,5.0
4709039,3.0
4709042,3.0
4709044,3.0
4709046,4.0
4709049,5.0
4709053,4.0
4709054,5.0
4709056,5.0
4709058,7.0
4709060,7.0
4709061,8.0
4709062,16.0
4709064,21.0
4709065,37.0
4709066,45.0
4709067,30.0
4709069,35.0
4709071,31.0
4709072,33.0
4709075,39.0
4709076,17.0
4709819,3.0
4709820,4.0
4709821,3.0
4709822,7.0
4709824,
4709826,6.0
4709828,
4709830,
4709832,23.0
4710002,31.0
4710003,32.0
4710004,35.0
4710008,9.0
4710009,1.0
4710011,5.0
4710014,11.0
4710022,12.0
4710024,15.0
4710027,15.0
4710028,22.0
4710029,35.0
4710031,30.0
4710034,23.0
4710035,26.0
4710036,34.0
4710038,45.0
4710041,47.0
4710043,60.0
4710046,48.0
4710047,48.0
4710052,45.0
4710054,40.0
4710056,41.0
4710058,42.0
4710061,49.0
4710062,46.0
4710064,46.0
4710066,47.0
4710068,50.0
4710071,55.0
4710072,69.0
4710801,
4710822,66.0
4710823,48.0
4710824,56.0
4710825,18.0
4710826,36.0
4710828,
4710832,
4710834,
4710836,
4710838,
4710840,30.0
4710842,
4710843,38.0
4710845,
4710846,
4710847,
4710848,
4710849,
4710850,
4710851,
4710852,
4711002,10.0
4711003,10.0
4711004,9.0
4711006,9.0
4711007,9.0
4711008,9.0
4711009,8.0
4711011,9.0
4711014,8.0
4711016,8.0
4711018,7.0
4711019,6.0
4711021,8.0
4711022,6.0
4711024,5.0
4711026,6.0
4711027,5.0
4711028,3.0
4711029,3.0
4711031,3.0
4711032,3.0
4711034,3.0
4711036,2.0
4711038,2.0
4711039,1.0
4711041,1.0
4711042,2.0
4711044,3.0
4711046,2.0
4711048,3.0
4711049,3.0
4711052,4.0
4711053,4.0
4711054,7.0
4711056,6.0
4711058,5.0
4711059,5.0
4711060,5.0
4711061,4.0
4711063,4.0
4711064,4.0
4711065,5.0
4711066,12.0
4711067,14.0
4711068,18.0
4711069,23.0
4711070,17.0
4711071,9.0
4711072,9.0
4711073,8.0
4711075,8.0
4711076,9.0
4711077,10.0
4711078,10.0
4711079,10.0
4711091,11.0
4711092,10.0
4711094,11.0
4711096,10.0
4711828,11.0
4712001,22.0
4712004,18.0
4712006,13.0
4712008,6.0
4712011,6.0
4712012,4.0
4712014,5.0
4712016,9.0
4712019,22.0
4712020,40.0
4712022,31.0
4712026,33.0
4712029,37.0
4712031,7.0
4712032,4.0
4712034,6.0
4712038,5.0
4712042,21.0
4712046,14.0
4712050,3.0
4712051,4.0
4712052,5.0
4712054,23.0
4712056,26.0
4712058,28.0
4712059,24.0
4712064,59.0
4712069,31.0
4712072,30.0
4712078,28.0
4712079,23.0
4712829,23.0
4712830,34.0
4712832,40.0
4712833,41.0
4712837,25.0
4712870,
4713002,40.0
4713004,42.0
4713006,31.0
4713008,32.0
4713009,32.0
4713011,22.0
4713014,35.0
4713016,28.0
4713019,14.0
4713021,3.0
4713022,3.0
4713024,15.0
4713026,19.0
4713028,23.0
4713029,33.0
4713031,33.0
4713032,25.0
4713038,19.0
4713039,44.0
4713041,39.0
4713042,12.0
4713044,3.0
4713046,4.0
4713049,5.0
4713051,37.0
4713053,28.0
4713054,19.0
4713056,19.0
4713059,11.0
4713062,21.0
4713064,4.0
